user_id,disability_type,skills_one,skills_two
108,Mental Health Condition,Credit Analysis,Financial Compliance
109,Learning Disability,Financial Forecasting,Corporate Finance
110,Speech Impairment,Financial Systems,Mergers and Acquisitions
111,Physical Disability,Financial Operations,Wealth Management
112,Visual Impairment,Insurance Underwriting,Financial Research
113,Cognitive Disability,Cash Flow Management,Internal Controls
114,Developmental Disability,Investment Analysis,Business Valuation
115,Hearing Impairment,Financial Risk Assessment,Portfolio Management
116,Neurological Disorder,Financial Derivatives,Financial Planning Software
117,Mental Health Condition,Financial Statements Analysis,Financial Regulation
118,Mobility Impairment,Cost Management,Real Estate Finance
